자치구,합계출산율,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세
Jongno,0.522,0,2.1,11.2,45.7,37.8,6,0.2
Jung,0.688,0.5,1.7,13.7,62,51.8,8.3,0
Yongsan,0.634,0,1.8,13.8,56.3,43.3,11.5,0.1
Seongdong,0.783,0,1.7,14.7,77.1,54.6,7.7,0.4
Gwangjin,0.527,0.6,1.8,11.7,47.9,35.3,7.1,0
Dongdaemun,0.699,0.6,2.4,16.3,63.3,47.2,8.5,0.3
Jungnang,0.66,0.5,3.6,19.2,58.6,42.5,7,0.3
Seongbuk,0.676,0.4,1.9,15,66.8,42.2,7.6,0.2
Gangbuk,0.55,0.7,4,14.4,50.7,32.5,6.8,0.2
Dobong,0.601,0.3,3.4,14.9,56.5,37.2,6.3,0.2
Nowon,0.695,0.1,1.8,18.2,70.6,39.9,6.2,0.2
Eunpyeong,0.623,0.3,3,16.2,57.5,38.5,8,0.3
Seodaemun,0.685,1.7,3,13.2,64.8,45.4,7.3,0.2
Mapo,0.594,0.3,1.7,11.7,55.9,40.9,7.9,0.2
Yangcheon,0.644,0.1,2.7,17.3,62.7,38.8,5.6,0
Gangseo,0.675,0.2,3.7,16.5,63,43.8,7.7,0
Guro,0.737,0.4,3.3,18.3,69.9,45.6,9.4,0.1
Geumcheon,0.668,0.7,5.7,17.9,60,41.8,7.2,0.2
Yeongdeungpo,0.705,0.6,1.8,13.7,65.1,49.8,10.1,0.2
Dongjak,0.655,0.1,1.6,11.2,62.9,45.3,8.3,0
Gwanak,0.474,0.4,2.2,7.2,38.7,37.3,7.8,0.3
Seocho,0.656,0.1,1,13.4,60.3,47.3,8.3,0
Gangnam,0.537,0.4,2.3,10.5,49.6,36.3,7.1,0.2
Songpa,0.665,0.3,2.4,15.3,65.9,41.2,8.2,0
Gangdong,0.748,0.3,3.2,19.5,71,47,8,0.1
